Creamery_Rankings
Timestamp,Name,Role,I am,Blue Goggles,Cookies & Cream,Earnestly Chocolate,Graham Canyon,Lemon Berry Cheesecake,Mint Chocolate Chip,Peanut Butter Trails,Pralines & Caramel,Raspberry and Cream Cheese,Email,Roasted Almond Fudge,Strawberry Sundae Crunch,Sparkle Sherbet
8/29/2024 10:47:51,John Smith,Student,a stats major,1,2,3,4,5,6,7,8,9,JohnSmith@gmail.com,10,11,12
8/29/2024 10:48:29,Emily Davis,Faculty,considering stats as a major,2,1,4,3,6,5,8,7,10,EmilyDavis@gmail.com,9,12,11
8/29/2024 10:49:00,Michael Johnson,Student,considering stats as a major,12,11,10,9,8,7,6,5,4,MichaelJohnson@gmail.com,3,2,1
8/29/2024 10:49:39,Sarah Lee,Student,a stats major,3,2,1,6,5,4,7,8,9,SarahLee@gmail.com,12,11,10
8/29/2024 10:50:21,James Brown,Faculty,a stats major,11,10,12,8,7,9,5,4,6,JamesBrown@gmail.com,2,1,3
8/29/2024 10:50:54,Olivia Martinez,Faculty,just here for the ice cream,7,6,5,4,3,2,1,8,9,olivia@gmail.com,10,11,12
8/29/2024 10:51:44,David Wilson,Student,a stats major,4,3,2,1,5,6,7,8,11,david@gmail.com,9,12,10
8/30/2024 14:29:10,Sophia Garcia,Student,a stats major,1,5,10,2,4,7,11,3,8,sophia@gmail.com,9,6,12
8/30/2024 14:29:46,Chris Miller,Student,a stats major,10,9,8,3,7,5,2,11,6,chris@gmail.com,1,4,12
8/30/2024 14:29:56,Abigail Rodriguez,Student,considering stats as a major,12,3,2,1,5,7,4,6,8,abigail@gmail.com,10,9,11
8/30/2024 14:30:27,Liam Hernandez,Faculty,a stats major,10,6,11,12,5,1,4,3,8,liam@gmail.com,2,7,9
8/30/2024 14:30:34,Charlotte Lopez,Student,considering stats as a major,11,1,3,2,6,12,8,9,5,charlotte@gmail.com,10,7,4
8/30/2024 14:30:51,Daniel Thompson,Faculty,a stats major,8,4,2,5,3,6,7,11,9,daniel@gmail.com,10,1,12
8/30/2024 14:31:01,Mia White,Student,considering stats as a major,1,3,5,4,6,7,10,12,2,mia@gmail.com,11,9,8
8/30/2024 14:31:05,Lucas Harris,Student,considering stats as a major,8,4,6,3,9,10,11,5,2,lucas@gmail.com,12,1,7
8/30/2024 14:31:18,Amelia Clark,Student,a stats major,10,5,1,2,8,7,3,9,6,amelia@gmail.com,4,11,12
8/30/2024 14:31:42,Ethan Lewis,Student,just here for the ice cream,2,4,6,1,11,3,9,7,5,ethan@gmail.com,8,10,12
